id,text,img,label,nltk1,nltk2,nltk3,nltk4
42953,its their character not their color that matters,img/42953.png,0,0.0,0.864,0.136,0.0258
23058,don't be afraid to love again everyone is not like your ex,img/23058.png,0,0.129,0.613,0.258,0.4749
13894,putting bows on your pet,img/13894.png,0,0.0,1.0,0.0,0.0
37408,i love everything and everybody! except for squirrels i hate squirrels,img/37408.png,0,0.244,0.461,0.296,0.2003
82403,"everybody loves chocolate chip cookies, even hitler",img/82403.png,0,0.0,0.619,0.381,0.5719
16952,go sports! do the thing! win the points!,img/16952.png,0,0.0,0.6,0.4,0.6884
76932,fine you're right. now can we fucking drop it?,img/76932.png,0,0.214,0.625,0.161,-0.1513
70914,tattoos are bad for your health i know 5 million people that had tattoos and they all died,img/70914.png,0,0.336,0.664,0.0,-0.7964
2973,how long can i run? till the chain tightens,img/02973.png,0,0.0,1.0,0.0,0.0
58306,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",img/58306.png,0,0.254,0.704,0.043,-0.8553
79351,jew mad? get fuhrerious!,img/79351.png,1,0.538,0.462,0.0,-0.5411
34096,"removes polish with chemicals, nobody bats an eye",img/34096.png,0,0.0,1.0,0.0,0.0
25489,brother... a day without a blast is a day wasted,img/25489.png,1,0.348,0.652,0.0,-0.4939
19324,when you're the only dog left at the dog shelter and the black family wants to adopt you,img/19324.png,0,0.0,0.909,0.091,0.1779
79346,voting for hillary is like letting casey anthony watch your kids because she's not guilty,img/79346.png,0,0.0,0.729,0.271,0.5903
13426,they will soon be free,img/13426.png,0,0.0,0.548,0.452,0.5106
97628,"is it ok for your son or daughter to call another man ""daddy?",img/97628.png,0,0.0,0.845,0.155,0.296
14238,most religions are religions of peace,img/14238.png,0,0.0,0.588,0.412,0.5423
28936,when you find out there's an opening for the role of first lady,img/28936.png,0,0.0,1.0,0.0,0.0
59784,if people reject me because i stand on the truth then i have no problem walking alone,img/59784.png,0,0.438,0.457,0.105,-0.743
2146,from the bottom of my heart i would like to sincerely apologize..... for being white,img/02146.png,0,0.0,0.682,0.318,0.6808
70146,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border",img/70146.png,0,0.242,0.758,0.0,-0.8402
28061,just because they do this dosen't mean they'll do this,img/28061.png,0,0.0,1.0,0.0,0.0
97180,if there is no race it can't be homicide,img/97180.png,0,0.216,0.784,0.0,-0.296
49752,here's to all my friends who never post about politics or religion,img/49752.png,0,0.0,0.78,0.22,0.4767
25610,enjoying a day at the beach,img/25610.png,0,0.0,0.541,0.459,0.5267
15872,when you come home from a long day of suicide bombinb and your wife gives you this look,img/15872.png,0,0.22,0.78,0.0,-0.6705
72640,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",img/72640.png,1,0.044,0.804,0.152,0.747
64318,when they take too long to blow out the candle,img/64318.png,0,0.0,1.0,0.0,0.0
17956,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,img/17956.png,0,0.163,0.837,0.0,-0.5423
93547,d.j. osama spin laden droppin' beats like the twin towers,img/93547.png,1,0.0,0.783,0.217,0.3612
10743,move to new york they said it'll be fun they said,img/10743.png,0,0.0,0.752,0.248,0.5106
37091,my sandwich-maker is very slow today,img/37091.png,0,0.0,1.0,0.0,0.0
25719,when you accidentally fall in the toilet,img/25719.png,0,0.286,0.714,0.0,-0.34
76825,two woman walking home together after a nice day out together,img/76825.png,0,0.0,0.763,0.237,0.4215
72598,texas churches be like... pew pew pew,img/72598.png,0,0.0,1.0,0.0,0.0
43078,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky,img/43078.png,0,0.0,1.0,0.0,0.0
51846,doesn't wear tampons because she trips over the string,img/51846.png,0,0.0,1.0,0.0,0.0
1569,when you can't decide to pre heat the oven or just throw the meal in right away,img/01569.png,0,0.0,1.0,0.0,0.0
95812,happy shot in the face day 5-2-2011,img/95812.png,0,0.0,0.619,0.381,0.5719
6418,1 bomb every minute,img/06418.png,0,0.615,0.385,0.0,-0.4939
53976,black power comes with a lot of responsibility,img/53976.png,0,0.0,1.0,0.0,0.0
70193,that chiken is so black no one is going to eat it,img/70193.png,0,0.184,0.816,0.0,-0.3566
60427,i hope both teams lose,img/60427.png,0,0.355,0.263,0.382,0.0516
78395,say the damn pronouns,img/78395.png,0,0.474,0.526,0.0,-0.4019
4876,goin,img/04876.png,0,0.0,1.0,0.0,0.0
92075,we need problem solvers not racist and religious bigots in office,img/92075.png,0,0.181,0.603,0.216,0.1331
86354,officer down,img/86354.png,0,0.0,1.0,0.0,0.0
74386,we said we would never forget why are you voting them into our government?,img/74386.png,1,0.0,0.886,0.114,0.1695
59613,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,img/59613.png,0,0.0,1.0,0.0,0.0
10263,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""",img/10263.png,0,0.331,0.538,0.131,-0.8834
48279,nice watch must have cost an arm and a leg,img/48279.png,0,0.0,0.741,0.259,0.4215
52610,i'm sick of politics so here's a pic of michelle obama riding a unicorn,img/52610.png,1,0.231,0.769,0.0,-0.5106
58371,when you suck at photoshop,img/58371.png,0,0.42,0.58,0.0,-0.4404
27401,for the last time.. i'm not michelle obama,img/27401.png,0,0.0,1.0,0.0,0.0
89574,i'm cute,img/89574.png,0,0.0,0.25,0.75,0.4588
25473,and then i told them you're going on a fun camping trip,img/25473.png,0,0.0,0.732,0.268,0.5106
47913,"the jussie smollett case explained. ""how do you plead? "" ""innocent!!!"" ""black, gay, trump hater, friend of michelle obama",img/47913.png,0,0.122,0.699,0.178,0.3129
8295,please consider donating water to children in need,img/08295.png,0,0.0,0.753,0.247,0.3182
2497,you're a wizard motherfucker,img/02497.png,0,0.697,0.303,0.0,-0.6808
90471,"relax mexicans you are rapists, drug lords and criminals",img/90471.png,0,0.473,0.355,0.172,-0.7269
69357,hey look at me! i'm a serial pedofile,img/69357.png,1,0.0,1.0,0.0,0.0
54602,when you just finished shooting a bunch of black kids but accidently killed a squirrel,img/54602.png,1,0.342,0.658,0.0,-0.8047
15320,obama working to legalize medical cannabis for all of the usa,img/15320.png,0,0.0,1.0,0.0,0.0
63182,my wife just got a seashell tattoo on her inner thigh if you put your ear to it you can smell the ocean,img/63182.png,0,0.0,1.0,0.0,0.0
20619,when you beat the shit out of the tranny hooker after you nut and call it a f****t but it doesn't get back up,img/20619.png,1,0.0,0.898,0.102,0.3612
82457,ring ring hello? i've been waiting for your call all damn day!!!,img/82457.png,0,0.245,0.755,0.0,-0.5538
81059,i like my refugees like this '' '' '',img/81059.png,0,0.0,0.545,0.455,0.6124
42137,when you get hungry you can either think about it or..,img/42137.png,0,0.0,1.0,0.0,0.0
74530,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,img/74530.png,1,0.0,0.876,0.124,0.3089
40832,taking photo with a mosque,img/40832.png,0,0.0,1.0,0.0,0.0
46127,"""ay, tone. how'd da gas stay in if da door is made of wood?""",img/46127.png,0,0.0,1.0,0.0,0.0
87594,"what do i have in common with cow pies? the older we get, the easier for you to pick us up!",img/87594.png,0,0.0,0.86,0.14,0.4753
12548,running chocolate,img/12548.png,0,0.0,1.0,0.0,0.0
12894,"imagine, if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money, but believe they are free",img/12894.png,0,0.14,0.71,0.15,0.3462
2476,im never doing a garden again!,img/02476.png,0,0.0,1.0,0.0,0.0
6937,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion",img/06937.png,0,0.257,0.743,0.0,-0.6369
5762,"listen bitch, before you start fucking with me you should know my team is bigger",img/05762.png,0,0.213,0.787,0.0,-0.5859
40259,masturbation it's not just for men,img/40259.png,0,0.0,1.0,0.0,0.0
85072,what is this sleep of which you speak?,img/85072.png,0,0.0,1.0,0.0,0.0
46537,"oakland mayor libby schaaf i saved 800 ms-13 rapists, murderers, molesters from ice",img/46537.png,0,0.522,0.354,0.124,-0.875
56432,"what if i told you that you cant ""tolerate"" a person who agrees with you? """,img/56432.png,0,0.0,0.87,0.13,0.2023
39805,look both ways before you cross the street,img/39805.png,0,0.0,1.0,0.0,0.0
29163,what kind of punch can take out 20 kids and 6 adults? a sandy hook,img/29163.png,1,0.0,1.0,0.0,0.0
36072,"she said ""choke me daddy"" so i gave her 2 popeye's biscuits without a drink",img/36072.png,0,0.241,0.759,0.0,-0.5423
60147,meditation before going to school,img/60147.png,0,0.0,1.0,0.0,0.0
90583,we can kill as many as we want and your stupid government keeps bringing us in,img/90583.png,1,0.362,0.58,0.058,-0.8316
38612,so there is this new implant that can actually fix stupid,img/38612.png,0,0.254,0.746,0.0,-0.5267
52097,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash",img/52097.png,1,0.0,1.0,0.0,0.0
34961,this cat is pushing a watermelon out of a lake. your argument is invalid,img/34961.png,0,0.185,0.815,0.0,-0.3612
15803,what do you call a retarded jew? auschwistic,img/15803.png,1,0.381,0.619,0.0,-0.5719
89762,that blackened chicken was so dry it reminded me of your mother,img/89762.png,0,0.0,1.0,0.0,0.0
38465,"yo dawg, i heard you like memes  so i made a meme mocking memes you so you can can mock me knocking memes while reading mock memes",img/38465.png,0,0.276,0.644,0.08,-0.7239
53289,when everybody's worried about their ex but you're just here enjoying your lemonade,img/53289.png,0,0.093,0.64,0.267,0.6124
75321,cannibal tribe from indonesia will take muslim refugess in any amount,img/75321.png,1,0.0,1.0,0.0,0.0
18350,when you see the gas bill,img/18350.png,0,0.0,1.0,0.0,0.0
91547,cheers to all the people who can change their minds when presented with information that contradicts their beliefs,img/91547.png,0,0.112,0.744,0.144,0.1779
30247,broken chair,img/30247.png,0,0.756,0.244,0.0,-0.4767
93741,stop being a bitch,img/93741.png,0,0.857,0.143,0.0,-0.7184
51243,honestly how often do you masturbate?,img/51243.png,0,0.0,0.625,0.375,0.4588
5384,spending quality time with dad,img/05384.png,0,0.0,1.0,0.0,0.0
1845,when you consume too much trans fat,img/01845.png,0,0.0,1.0,0.0,0.0
34791,when i was a boy we didn't have things like adhd. it was called being a little bastard,img/34791.png,1,0.29,0.71,0.0,-0.6505
41385,y'all kids claims to be victims of slavery when we were the ones who lived it,img/41385.png,0,0.336,0.664,0.0,-0.7964
34508,jews are the problem. not just zionists or israelis. jews. all of them,img/34508.png,1,0.184,0.816,0.0,-0.4019
80521,him: the dishwasher is acting weird her: what's it doing? him: chopping fucking vegetables,img/80521.png,0,0.116,0.884,0.0,-0.1779
34165,be happy you dont have neanderthal dna,img/34165.png,0,0.0,0.619,0.381,0.5719
93072,"black people black people ""why would white america do this?""",img/93072.png,1,0.0,1.0,0.0,0.0
25468,white people walked on all fours before black people came and showed them how to stand up,img/25468.png,1,0.0,1.0,0.0,0.0
9617,when you turn on the light and realize you have been fisting the wrong hole,img/09617.png,0,0.181,0.819,0.0,-0.4767
96258,its national hebrew day go pick up a hot girl,img/96258.png,0,0.0,1.0,0.0,0.0
96578,mohammad is fucked by blink hacker group! oink oink! hi! my name's mohammad! fuck you muslims!,img/96578.png,1,0.393,0.607,0.0,-0.877
35618,i woke up like this,img/35618.png,0,0.0,0.545,0.455,0.3612
5249,i am still so confused about the strategies in this game,img/05249.png,0,0.249,0.751,0.0,-0.4572
57349,"""at first, i didn t want to wear a hijab."" ""but my husband convinced me otherwise.""",img/57349.png,0,0.0,0.701,0.299,0.5719
78409,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me,img/78409.png,1,0.0,1.0,0.0,0.0
29814,"if you hold a black baby to your ear, you can hear the police sirens",img/29814.png,1,0.0,1.0,0.0,0.0
